ID,Year,Month,Day,Tsunami_Event,Earthquake_Event,Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI,Agent,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage ,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description
138,1716,11,9,,,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,3,,1,1,0,,31,1,0,0,0,0,1,1,0,0,31,1,0,0,0,
139,1717,2,7,,,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,3,,1,1,0,,30,1,0,0,0,0,1,1,0,0,30,1,0,0,0,
140,1717,8,4,,,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,3,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
141,1717,8,27,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
142,1718,2,1,,,Pico,Azores,Portugal,38.47,-28.4,2351,Stratovolcano,2,,2,1,0,,0,,0,0,0,0,2,1,0,0,0,0,0,0,0,
143,1721,5,11,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,5,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
144,1721,6,22,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,1,T,15,1,0,,0,,0,0,0,0,15,1,0,0,0,0,0,0,0,
145,1726,2,1,,,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,1,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
146,1727,8,3,,,Oraefajokull,Iceland-SE,Iceland,64,-16.65,2119,Stratovolcano,4,F,3,1,0,,0,,0,0,0,0,3,1,0,0,0,0,0,0,0,
147,1729,2,1,,,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,1,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
148,1729,6,30,,,Krafla,Iceland-NE,Iceland,65.73,-16.78,650,Caldera,2,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
149,1730,9,1,,,Lanzarote,Canary Is,Spain,29.03,-13.63,670,Fissure vent,2,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
150,1730,,,,,Tseax River Cone,Canada,Canada,55.12,-128.9,609,Pyroclastic cone,,G,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
151,1730,,,,,Raung,Java,Indonesia,-8.125,114.042,3332,Stratovolcano,3,"M,T",0,2,0,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,
152,1737,5,20,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,2,T,2,1,0,,0,,0,2,0,0,2,1,0,0,0,0,0,2,0,
153,1741,8,23,419,,Oshima-Oshima,Hokkaido-Japan,Japan,41.5,139.37,737,Stratovolcano,4,"W,S",0,,0,,0,,0,0,0,0,2000,4,0,0,0,0,0,3,871,3
154,1742,6,15,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,3,M,0,3,0,,0,,0,3,0,0,0,3,0,0,0,0,0,3,0,
155,1742,12,9,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,3,M,0,3,0,,0,,0,3,0,0,0,3,0,0,0,0,0,3,0,
156,1749,8,11,431,1304,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,3,,0,1,0,,0,,0,1,0,0,0,1,0,0,0,0,0,3,0,3
157,1753,10,15,,,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,2,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
158,1754,11,28,2853,1328,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,4,"W,T",0,1,0,,0,,0,4,0,4,12,1,0,0,0,0,0,4,0,4
159,1755,10,17,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,E,2,1,0,,0,,0,0,0,0,2,1,0,0,0,0,0,0,0,
160,1757,7,9,,1348,San Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,0,S,0,,0,,0,,0,0,0,0,1053,4,0,0,0,0,0,3,0,4
161,1760,,,,,Makian,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,4,M,2000,4,0,,0,,0,0,0,0,2000,4,0,0,0,0,0,0,0,
162,1762,,,,,Kliuchevskoi,Kamchatka,Russia,56.057,160.638,4835,Stratovolcano,2,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
163,1766,4,5,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
164,1766,7,20,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,m,49,1,0,,0,,0,0,0,0,49,1,0,0,0,0,0,0,0,
165,1768,4,4,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,4,M,0,3,0,,0,,0,3,0,0,0,3,0,0,0,0,0,3,0,
166,1772,5,9,504,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,3,T,35,1,0,,0,,0,0,0,0,35,1,0,0,0,0,0,0,0,
167,1772,8,12,,,Papandayan,Java,Indonesia,-7.32,107.73,2665,Stratovolcano,3,A,2957,4,0,,0,,0,0,0,3,2957,4,0,0,0,0,0,0,0,3
168,1773,2,2,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,2,I,0,2,0,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,
169,1775,,,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,3,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
170,1775,,,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,3,"P,I",1300,4,0,,0,,0,0,0,0,1300,4,0,0,0,0,0,0,0,
171,1778,,,,,Raikoke,Kuril Is,Russia,48.292,153.25,551,Stratovolcano,4,T,15,1,0,,0,,0,0,0,0,15,1,0,0,0,0,0,0,0,
172,1779,8,8,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,2,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
173,1779,11,8,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,4,"T,W,I",153,3,0,,0,,0,0,0,0,153,3,0,0,0,0,0,0,0,
174,1780,2,9,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,4,F,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
175,1780,7,27,,,Aoga-shima,Izu Is-Japan,Japan,32.45,139.77,423,Stratovolcano,3,,7,1,0,,0,,0,0,0,1,7,1,0,0,0,0,0,0,0,1
176,1780,9,9,525,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,4,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
177,1780,10,31,528,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
178,1781,4,11,529,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,4,W,23,1,0,,0,,0,0,0,0,38,1,0,0,0,0,0,1,0,
179,1783,8,5,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,4,"F,P,I",1491,4,0,,0,,0,0,0,0,1491,4,0,0,0,0,0,0,0,
180,1784,4,,,,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,4,I,0,,0,,0,,0,0,0,0,9350,4,0,0,0,0,0,0,0,
181,1784,7,,,,Sabancaya,Peru,Peru,-15.78,-71.85,5967,Stratovolcano,,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
182,1784,,,,,Hualalai,Hawaiian Is,United States,19.692,-155.87,2523,Shield volcano,0,L,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
183,1785,4,18,,,Aoga-shima,Izu Is-Japan,Japan,32.45,139.77,423,Stratovolcano,3,,135,3,0,,0,,0,0,0,0,135,3,0,0,0,0,0,0,0,
184,1786,,,,,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,2,A,38,1,0,,0,,0,0,0,2,38,1,0,0,0,0,0,0,0,2
185,1789,,,,,Oshima,Izu Is-Japan,Japan,34.73,139.38,758,Stratovolcano,2,T,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
186,1790,11,,,,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,4,P,5405,4,0,,0,,0,0,0,0,5405,4,0,0,0,0,0,0,0,
187,1792,5,21,568,1515,Unzen,Kyushu-Japan,Japan,32.75,130.3,1500,Complex volcano,2,"W,A",0,1,0,,0,,0,0,0,0,15000,4,0,0,707,3,0,4,6200,4
188,1794,6,15,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,"M,L,T,G",400,3,0,,0,,0,3,0,0,400,3,0,0,0,0,0,3,0,
189,1800,6,24,,,San Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,1,L,9,1,0,,0,,0,0,0,0,9,1,0,0,0,0,0,0,0,
190,1800,10,8,,,Guntur,Java,Indonesia,-7.13,107.83,2249,Complex volcano,,M,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
191,1800,10,30,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
192,1800,,,,,St. Helens,US-Washington,United States,46.2,-122.18,2549,Stratovolcano,5,I,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
193,1800,,,,,Hualalai,Hawaiian Is,United States,19.692,-155.87,2523,Shield volcano,0,L,2,1,0,,0,,0,0,0,0,2,1,0,0,0,0,0,0,0,
194,1800,,,,,Kieyo,Africa-E,Tanzania,-9.23,33.78,2175,Stratovolcano,2,L,0,3,0,,0,,0,3,0,0,0,3,0,0,0,0,0,3,0,
195,1801,7,,,,Chokai,Honshu-Japan,Japan,39.08,140.03,2237,Stratovolcano,2,T,8,1,0,,0,,0,0,0,0,8,1,0,0,0,0,0,0,0,
196,1803,7,4,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,2,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
197,1803,11,7,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,2,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
198,1804,,,,,Shikotsu,Hokkaido-Japan,Japan,42.7,141.33,1320,Caldera,3,,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
199,1805,8,11,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,2,,4,1,0,,0,,0,0,0,0,4,1,0,0,0,0,0,0,0,
200,1812,4,27,,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,4,"T, m",56,2,0,,0,,0,0,0,0,56,2,0,0,0,0,0,0,0,
201,1812,8,6,,,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.5,1320,Stratovolcano,3,"P,M",953,3,0,,0,,0,0,0,0,953,3,0,0,0,0,0,0,0,
202,1813,5,,3221,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,2,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
203,1814,2,1,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,4,"P,M,E",1200,4,0,,0,,0,3,0,3,1200,4,0,0,0,0,0,3,0,3
204,1815,4,10,613,,Tambora,Lesser Sunda Is,Indonesia,-8.25,118,2850,Stratovolcano,7,"P,W,A,I",11000,4,0,,0,4,0,4,0,4,60000,4,0,0,0,4,0,4,0,4
205,1816,7,5,,,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,T,1,1,0,,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,
206,1817,1,24,,,Ijen,Java,Indonesia,-8.058,114.242,2799,Stratovolcano,2,M,0,2,0,,0,,0,0,90,2,0,2,0,0,0,0,0,0,90,2
207,1817,,,,,Raung,Java,Indonesia,-8.125,114.042,3332,Stratovolcano,4,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
208,1818,2,5,,,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,4,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
209,1819,,,623,,Asuncion,Mariana Is-C Pacific,United States,19.67,145.4,857,Stratovolcano,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
210,1820,3,1,631,6650,Westdahl,Aleutian Is,United States,54.52,-164.65,1654,Stratovolcano,2,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
211,1820,6,11,,,Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,640,Caldera,2,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
212,1822,3,9,,,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,4,P,50,1,0,,53,2,0,0,0,2,50,1,0,0,53,2,0,0,0,2
213,1822,10,8,,,Galunggung,Java,Indonesia,-7.25,108.05,2168,Stratovolcano,5,"P,M",4011,4,0,,0,,0,3,0,3,4011,4,0,0,0,0,0,3,0,3
214,1822,12,27,,,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,3,,100,2,0,,0,2,0,3,0,3,100,2,0,0,0,2,0,3,0,3
215,1823,2,,,,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,0,L,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
216,1825,3,21,654,,Shishaldin,Aleutian Is,United States,54.75,-163.97,2857,Stratovolcano,3,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
217,1825,,,,,Balbi,Bougainville-SW Paci,Papua New Guinea,-5.83,154.98,2715,Stratovolcano,,P,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
218,1826,10,11,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,3,M,0,1,0,,65,2,0,3,0,3,0,1,0,0,65,2,0,3,0,3
219,1826,10,11,,,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,2,,0,2,0,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,
220,1826,10,,,,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,T,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
221,1827,6,27,663,6651,Avachinsky,Kamchatka,Russia,53.255,158.83,2741,Stratovolcano,2,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
222,1827,8,9,,,Avachinsky,Kamchatka,Russia,53.255,158.83,2741,Stratovolcano,2,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
223,1829,,,,,Guntur,Java,Indonesia,-7.13,107.83,2249,Complex volcano,2,,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
224,1832,11,1,,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,2,L,0,2,0,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,
225,1832,12,25,,,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,3,,32,1,0,,0,,0,0,0,2,32,1,0,0,0,0,0,0,0,2
226,1833,11,24,,,Kaba,Sumatra,Indonesia,-3.52,102.62,1952,Stratovolcano,2,M,126,3,0,,0,,0,0,0,0,126,3,0,0,0,0,0,0,0,
227,1835,1,20,,,Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872,Stratovolcano,5,"G,I",0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
228,1835,11,1,,1787,Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,640,Caldera,,,0,3,0,,0,,0,2,0,2,0,3,0,0,0,0,0,2,0,2
229,1837,9,,706,6050,Peuet Sague,Sumatra,Indonesia,4.914,96.329,2801,Complex volcano,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
230,1838,2,26,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,2,T,4,1,0,,0,,0,0,0,0,4,1,0,0,0,0,0,0,0,
231,1839,2,12,711,,Unnamed,Chile-Is,Chile,-33.62,-76.83,-642,Submarine volcano,2,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
232,1840,2,2,718,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,3,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,2,500,3
233,1840,5,30,714,,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,0,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
234,1840,7,2,,,Ararat,Turkey,Turkey,39.7,44.28,5165,Stratovolcano,3,P,1900,4,0,,0,,0,0,0,0,1900,4,0,0,0,0,0,0,0,
235,1840,,,,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.8,851,Stratovolcano,3,P,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
236,1840,,,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,-9.13,159.82,510,Stratovolcano,3,P,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
237,1841,4,,,,Kuchinoerabu-jima,Ryukyu Is,Japan,30.43,130.22,649,Stratovolcano,2,T,0,,0,,0,,0,2,0,2,0,0,0,0,0,0,0,2,0,2
238,1843,2,8,730,,Liamuiga,W Indies,St. Kitts & Nevis,17.37,-62.8,1156,Stratovolcano,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
239,1843,2,17,731,,Soufriere Guadeloupe,W Indies,Guadeloupe,16.05,-61.67,1467,Stratovolcano,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
240,1843,8,,,,Lamongan,Java,Indonesia,-8,113.342,1651,Stratovolcano,2,,4,1,0,,0,,0,0,0,0,4,1,0,0,0,0,0,0,0,
241,1843,11,17,,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,2,L,56,2,0,,0,2,0,0,0,0,56,2,0,0,0,2,0,0,0,
242,1845,2,8,741,1865,Soputan,Sulawesi-Indonesia,Indonesia,1.108,124.725,1784,Stratovolcano,2,,0,,0,,0,,0,0,0,0,118,3,0,0,0,0,0,2,0,3
243,1845,2,19,,,Ruiz,Colombia,Colombia,4.895,-75.322,5321,Stratovolcano,3,M,1000,3,0,,0,,0,0,0,0,1000,3,0,0,0,0,0,0,0,
244,1845,9,2,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
245,1846,5,7,,,Taupo,New Zealand,New Zealand,-38.82,176,760,Caldera,,m,63,2,0,,0,,0,0,0,0,63,2,0,0,0,0,0,0,0,
246,1846,5,27,,,Tangkubanparahu,Java,Indonesia,-6.77,107.6,2084,Stratovolcano,2,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
247,1846,11,18,,,E-san,Hokkaido-Japan,Japan,41.8,141.17,618,Stratovolcano,1,M,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
248,1847,4,9,,,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,2,S,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
249,1847,12,4,,,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,2,,0,2,0,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,
250,1848,5,16,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,2,M,21,1,0,,0,,0,0,800,3,21,1,0,0,0,0,0,0,800,3
251,1850,,,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,2,T,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
252,1853,6,24,,,Niuafo'ou,Tonga-SW Pacific,Tonga,-15.6,-175.63,260,Shield volcano,0,L,25,1,0,,0,,0,0,0,0,25,1,0,0,0,0,0,0,0,
253,1853,7,13,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,P,34,1,0,,0,,0,0,0,1,34,1,0,0,0,0,0,0,0,1
254,1853,10,29,809,,Unnamed,Taiwan-E of,Taiwan,24,121.83,0,Submarine volcano,2,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
255,1854,2,18,,,Shiveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,5,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
256,1854,2,,,,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,,3,1,0,,0,,0,0,0,0,3,1,0,0,0,0,0,0,0,
257,1854,6,27,821,,Alaid,Kuril Is,Russia,50.858,155.55,2339,Stratovolcano,3,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
258,1856,3,2,859,1995,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.5,1320,Stratovolcano,3,P,2806,4,0,,0,2,0,3,0,3,2806,4,0,0,0,2,0,3,0,3
259,1856,7,26,862,,Shishaldin,Aleutian Is,United States,54.75,-163.97,2857,Stratovolcano,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
260,1856,9,25,,,Komaga-take,Hokkaido-Japan,Japan,42.07,140.68,1140,Stratovolcano,4,P,20,1,0,,0,,0,0,0,3,20,1,0,0,0,0,0,0,0,3
261,1857,4,17,869,6125,Umboi,New Guinea-NE of,Papua New Guinea,-5.589,147.875,1548,Complex volcano,,,0,,0,,0,,0,0,0,0,0,2,0,0,0,0,0,2,0,2
262,1858,1,,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,P,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
263,1858,4,23,,10184,Tate-yama,Honshu-Japan,Japan,36.57,137.6,2621,Stratovolcano,,m,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
264,1858,7,3,,,Tate-yama,Honshu-Japan,Japan,36.57,137.6,2621,Stratovolcano,,m,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
265,1860,4,,,,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,2,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,1
266,1860,8,18,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
267,1860,,,,,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,,m,1,1,0,,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,
268,1861,5,7,,2049,Dubbi,Africa-NE,Eritrea,13.58,41.808,1625,Stratovolcano,3,,106,3,0,,0,,0,3,0,3,106,3,0,0,0,0,0,3,0,3
269,1861,5,,,,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,2,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
270,1861,12,29,,,Makian,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,4,"P,I",326,3,0,,47,1,0,0,0,3,326,3,0,0,47,1,0,0,0,3
271,1863,8,17,929,6150,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.52,169.425,361,Stratovolcano,,,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
272,1864,1,3,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,2,M,54,2,0,,0,,0,0,0,3,54,2,0,0,0,0,0,0,0,3
273,1866,2,20,,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,2,T,1,1,0,,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,
